AAA, 2021, 1, python, true, true, 0.139
DVH, 2021, 1, julia, true, true, 0.998
DVH, 2021, 1, python, true, true, 0.142
DVH, 2022, 1, julia, true, true, 0.694
DVH, 2022, 1, python, false, true, 0.013
DVH, 2022, 2, python, true, true, 0.013
DVH, 2022, 3, python, true, true, 0.021
DVH, 2022, 4, julia, true, true, 0.991
DVH, 2022, 4, python, true, true, 0.032
DVH, 2022, 10, julia, true, false, 1.666
DVH, 2022, 11, julia, true, true, 1.542
DVH, 2022, 12, julia, true, true, 1.205
DVH, 2022, 13, python, true, true, 0.057
DVH, 2022, 20, julia, true, true, 1.143
DVH, 2022, 23, julia, true, true, 63.722
DVH, 2022, 5, julia, false, false, 2.239
DVH, 2022, 6, julia, true, true, 0.285
DVH, 2022, 7, python, true, true, 0.015
DVH, 2022, 8, julia, true, true, 2.317
DVH, 2022, 9, julia, true, true, 2.929
DVH, 2023, 1, python, true, true, 0.0735
